epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
107,1329.32,2.19491,1.89504,1.31008,0.55801,0.29562,0.3376,0.17502,1.87606,1.62042,1.14766,0.00523,0.00523,0.00523
108,1342.82,2.08091,1.76519,1.27841,0.56379,0.31247,0.3222,0.1601,1.80228,1.65743,1.12315,0.005185,0.005185,0.005185
109,1356.24,1.99557,1.81999,1.31052,0.56379,0.31247,0.3222,0.1601,1.80228,1.65743,1.12315,0.00514,0.00514,0.00514
110,1368.99,2.09621,1.73577,1.27002,0.56379,0.31247,0.3222,0.1601,1.80228,1.65743,1.12315,0.005095,0.005095,0.005095
111,1381.69,1.91636,1.81342,1.21884,0.56379,0.31247,0.3222,0.1601,1.80228,1.65743,1.12315,0.00505,0.00505,0.00505
112,1394.43,2.1794,1.83085,1.30194,0.4503,0.35708,0.31582,0.17713,1.94412,1.7145,1.19326,0.005005,0.005005,0.005005
113,1405.57,1.76576,1.81896,1.16787,0.4503,0.35708,0.31582,0.17713,1.94412,1.7145,1.19326,0.00496,0.00496,0.00496
114,1417.9,1.95449,1.8369,1.2962,0.4503,0.35708,0.31582,0.17713,1.94412,1.7145,1.19326,0.004915,0.004915,0.004915
115,1428.73,1.87707,1.72941,1.20059,0.4503,0.35708,0.31582,0.17713,1.94412,1.7145,1.19326,0.00487,0.00487,0.00487
116,1441.17,1.78335,1.73649,1.22709,0.55397,0.33242,0.35249,0.19701,1.75611,1.57525,1.10517,0.004825,0.004825,0.004825
117,1452.95,1.89952,1.72808,1.22343,0.55397,0.33242,0.35249,0.19701,1.75611,1.57525,1.10517,0.00478,0.00478,0.00478
118,1464.75,1.86673,1.7483,1.25595,0.55397,0.33242,0.35249,0.19701,1.75611,1.57525,1.10517,0.004735,0.004735,0.004735
119,1477.11,1.87592,1.63056,1.22314,0.55397,0.33242,0.35249,0.19701,1.75611,1.57525,1.10517,0.00469,0.00469,0.00469
120,1488.47,1.80943,1.49896,1.20701,0.40427,0.33592,0.32334,0.17638,1.86459,1.62725,1.17107,0.004645,0.004645,0.004645
121,1499.55,1.9615,1.73509,1.25065,0.40427,0.33592,0.32334,0.17638,1.86459,1.62725,1.17107,0.0046,0.0046,0.0046
122,1510.06,1.86006,1.70836,1.24281,0.40427,0.33592,0.32334,0.17638,1.86459,1.62725,1.17107,0.004555,0.004555,0.004555
123,1521.55,2.06165,1.77025,1.28148,0.40427,0.33592,0.32334,0.17638,1.86459,1.62725,1.17107,0.00451,0.00451,0.00451
124,1532.63,2.00698,1.76718,1.3223,0.57123,0.36266,0.39174,0.21039,1.71422,1.46694,1.10174,0.004465,0.004465,0.004465
125,1544.98,1.88502,1.67534,1.21149,0.57123,0.36266,0.39174,0.21039,1.71422,1.46694,1.10174,0.00442,0.00442,0.00442
126,1555.98,1.76693,1.6576,1.2769,0.57123,0.36266,0.39174,0.21039,1.71422,1.46694,1.10174,0.004375,0.004375,0.004375
127,1567.64,1.99122,1.69198,1.25913,0.57123,0.36266,0.39174,0.21039,1.71422,1.46694,1.10174,0.00433,0.00433,0.00433
128,1578.47,1.97794,1.7066,1.17993,0.64354,0.38233,0.39062,0.21908,1.74976,1.49271,1.10642,0.004285,0.004285,0.004285
129,1590.22,1.9521,1.6523,1.25276,0.64354,0.38233,0.39062,0.21908,1.74976,1.49271,1.10642,0.00424,0.00424,0.00424
130,1601.6,1.95513,1.58405,1.21399,0.64354,0.38233,0.39062,0.21908,1.74976,1.49271,1.10642,0.004195,0.004195,0.004195
131,1612.15,1.70003,1.5041,1.19786,0.64354,0.38233,0.39062,0.21908,1.74976,1.49271,1.10642,0.00415,0.00415,0.00415
132,1622.59,1.90851,1.684,1.26942,0.66164,0.4102,0.421,0.25069,1.63134,1.39807,1.06867,0.004105,0.004105,0.004105
133,1633.35,1.89742,1.67876,1.22441,0.66164,0.4102,0.421,0.25069,1.63134,1.39807,1.06867,0.00406,0.00406,0.00406
134,1643.73,1.7323,1.55845,1.18632,0.66164,0.4102,0.421,0.25069,1.63134,1.39807,1.06867,0.004015,0.004015,0.004015
135,1654.21,1.75939,1.58033,1.18005,0.66164,0.4102,0.421,0.25069,1.63134,1.39807,1.06867,0.00397,0.00397,0.00397
136,1664.67,1.68702,1.55027,1.19202,0.48857,0.21852,0.22082,0.10005,2.05253,1.91187,1.28226,0.003925,0.003925,0.003925
137,1675,1.82427,1.63717,1.21479,0.48857,0.21852,0.22082,0.10005,2.05253,1.91187,1.28226,0.00388,0.00388,0.00388
138,1685.79,1.74038,1.51502,1.18794,0.48857,0.21852,0.22082,0.10005,2.05253,1.91187,1.28226,0.003835,0.003835,0.003835
139,1696.7,2.07039,1.91564,1.25768,0.48857,0.21852,0.22082,0.10005,2.05253,1.91187,1.28226,0.00379,0.00379,0.00379
140,1708.19,1.87193,1.63581,1.22861,0.6673,0.3242,0.37251,0.1897,1.80392,1.63009,1.12234,0.003745,0.003745,0.003745
141,1719.18,1.7031,1.4788,1.17901,0.6673,0.3242,0.37251,0.1897,1.80392,1.63009,1.12234,0.0037,0.0037,0.0037
142,1729.46,1.76415,1.54556,1.18502,0.6673,0.3242,0.37251,0.1897,1.80392,1.63009,1.12234,0.003655,0.003655,0.003655
143,1740.11,1.82854,1.61731,1.26538,0.6673,0.3242,0.37251,0.1897,1.80392,1.63009,1.12234,0.00361,0.00361,0.00361
144,1750.36,1.79437,1.58695,1.21368,0.58738,0.43081,0.42474,0.24522,1.64327,1.40232,1.09341,0.003565,0.003565,0.003565
145,1760.41,1.90968,1.63866,1.2757,0.58738,0.43081,0.42474,0.24522,1.64327,1.40232,1.09341,0.00352,0.00352,0.00352
146,1771.39,1.76098,1.5495,1.22154,0.58738,0.43081,0.42474,0.24522,1.64327,1.40232,1.09341,0.003475,0.003475,0.003475
147,1782.88,1.92317,1.67238,1.27914,0.58738,0.43081,0.42474,0.24522,1.64327,1.40232,1.09341,0.00343,0.00343,0.00343
148,1794.01,1.7197,1.4978,1.14801,0.63939,0.38451,0.4547,0.25893,1.58733,1.38941,1.05875,0.003385,0.003385,0.003385
149,1806.11,2.04855,1.75347,1.29,0.63939,0.38451,0.4547,0.25893,1.58733,1.38941,1.05875,0.00334,0.00334,0.00334
150,1817.34,1.65306,1.48694,1.1491,0.63939,0.38451,0.4547,0.25893,1.58733,1.38941,1.05875,0.003295,0.003295,0.003295
151,1829.05,1.67825,1.47561,1.17823,0.63939,0.38451,0.4547,0.25893,1.58733,1.38941,1.05875,0.00325,0.00325,0.00325
152,1840.92,1.65635,1.47391,1.15534,0.71881,0.42158,0.51195,0.30439,1.58693,1.3649,1.05949,0.003205,0.003205,0.003205
153,1851.72,1.91426,1.7252,1.25277,0.71881,0.42158,0.51195,0.30439,1.58693,1.3649,1.05949,0.00316,0.00316,0.00316
154,1863,1.80817,1.53941,1.21102,0.71881,0.42158,0.51195,0.30439,1.58693,1.3649,1.05949,0.003115,0.003115,0.003115
155,1873.64,1.68981,1.55568,1.23889,0.71881,0.42158,0.51195,0.30439,1.58693,1.3649,1.05949,0.00307,0.00307,0.00307
156,1884.81,1.96677,1.63909,1.20712,0.68943,0.42225,0.50652,0.32253,1.53562,1.28269,1.04929,0.003025,0.003025,0.003025
157,1895.92,1.63347,1.42783,1.11085,0.68943,0.42225,0.50652,0.32253,1.53562,1.28269,1.04929,0.00298,0.00298,0.00298
158,1907.71,1.80424,1.58304,1.22332,0.68943,0.42225,0.50652,0.32253,1.53562,1.28269,1.04929,0.002935,0.002935,0.002935
159,1919.18,1.73231,1.54878,1.15416,0.68943,0.42225,0.50652,0.32253,1.53562,1.28269,1.04929,0.00289,0.00289,0.00289
160,1931.14,1.77462,1.50907,1.18394,0.64807,0.47551,0.49989,0.29833,1.62187,1.37633,1.07809,0.002845,0.002845,0.002845
161,1944.31,1.80585,1.53158,1.18583,0.64807,0.47551,0.49989,0.29833,1.62187,1.37633,1.07809,0.0028,0.0028,0.0028
162,1958.69,1.83713,1.52855,1.1867,0.64807,0.47551,0.49989,0.29833,1.62187,1.37633,1.07809,0.002755,0.002755,0.002755
163,1970.3,1.74087,1.42515,1.13938,0.64807,0.47551,0.49989,0.29833,1.62187,1.37633,1.07809,0.00271,0.00271,0.00271
164,1984.59,1.81374,1.56323,1.22315,0.61662,0.3836,0.46804,0.25192,1.65802,1.43174,1.10591,0.002665,0.002665,0.002665
165,1997.02,1.73722,1.50908,1.16831,0.61662,0.3836,0.46804,0.25192,1.65802,1.43174,1.10591,0.00262,0.00262,0.00262
166,2008.64,1.57909,1.37386,1.1583,0.61662,0.3836,0.46804,0.25192,1.65802,1.43174,1.10591,0.002575,0.002575,0.002575
167,2020.3,1.78715,1.59112,1.26651,0.61662,0.3836,0.46804,0.25192,1.65802,1.43174,1.10591,0.00253,0.00253,0.00253
168,2030.7,1.57455,1.38866,1.14397,0.60729,0.47207,0.50822,0.27853,1.70058,1.37581,1.07924,0.002485,0.002485,0.002485
169,2041.79,1.64449,1.44018,1.11161,0.60729,0.47207,0.50822,0.27853,1.70058,1.37581,1.07924,0.00244,0.00244,0.00244
170,2052.55,1.78795,1.52057,1.22322,0.60729,0.47207,0.50822,0.27853,1.70058,1.37581,1.07924,0.002395,0.002395,0.002395
171,2062.78,1.56672,1.33367,1.15109,0.60729,0.47207,0.50822,0.27853,1.70058,1.37581,1.07924,0.00235,0.00235,0.00235
172,2074.96,2.00218,1.62499,1.23876,0.60869,0.44103,0.4541,0.24241,1.54963,1.4023,1.04944,0.002305,0.002305,0.002305
173,2085.65,1.65462,1.50118,1.14867,0.60869,0.44103,0.4541,0.24241,1.54963,1.4023,1.04944,0.00226,0.00226,0.00226
174,2096.44,1.84733,1.57882,1.23646,0.60869,0.44103,0.4541,0.24241,1.54963,1.4023,1.04944,0.002215,0.002215,0.002215
175,2106.58,1.8775,1.64879,1.22946,0.60869,0.44103,0.4541,0.24241,1.54963,1.4023,1.04944,0.00217,0.00217,0.00217
176,2117.31,1.76838,1.5593,1.19052,0.67283,0.45808,0.52133,0.30609,1.59019,1.33934,1.05886,0.002125,0.002125,0.002125
177,2128.41,1.57224,1.3553,1.11445,0.67283,0.45808,0.52133,0.30609,1.59019,1.33934,1.05886,0.00208,0.00208,0.00208
178,2140.03,1.54607,1.39964,1.1528,0.67283,0.45808,0.52133,0.30609,1.59019,1.33934,1.05886,0.002035,0.002035,0.002035
179,2151.2,1.93391,1.70047,1.27242,0.67283,0.45808,0.52133,0.30609,1.59019,1.33934,1.05886,0.00199,0.00199,0.00199
180,2161.68,1.57924,1.36317,1.13738,0.75874,0.42675,0.49461,0.29365,1.50344,1.31583,1.0606,0.001945,0.001945,0.001945
181,2171.97,1.66698,1.50206,1.18467,0.75874,0.42675,0.49461,0.29365,1.50344,1.31583,1.0606,0.0019,0.0019,0.0019
182,2182.48,1.73908,1.53887,1.12482,0.75874,0.42675,0.49461,0.29365,1.50344,1.31583,1.0606,0.001855,0.001855,0.001855
183,2193.19,1.82848,1.56881,1.24338,0.75874,0.42675,0.49461,0.29365,1.50344,1.31583,1.0606,0.00181,0.00181,0.00181
184,2203.46,1.59788,1.43684,1.12333,0.71945,0.47059,0.56274,0.34541,1.48303,1.25386,1.03251,0.001765,0.001765,0.001765
185,2213.71,1.69683,1.49213,1.20782,0.71945,0.47059,0.56274,0.34541,1.48303,1.25386,1.03251,0.00172,0.00172,0.00172
